FP1,FP2,F7,F8,AF1,AF2,FZ,F4,F3,FC6,FC5,FC2,FC1,T8,T7,CZ,C3,C4,CP5,CP6,CP1,CP2,P3,P4,PZ,P8,P7,PO2,PO1,O2,O1,X,AF7,AF8,F5,F6,FT7,FT8,FPZ,FC4,FC3,C6,C5,F2,F1,TP8,TP7,AFZ,CP3,CP4,P5,P6,C1,C2,PO7,PO8,FCZ,POZ,OZ,P2,P1,CPZ,nd,Y,Class
-3.55,-4.476,-1.017,-0.661,-6.083,-7.64,-4.313,-1.2,-7.507,-2.319,-6.775,-1.648,-4.405,-8.921,-7.741,-4.1,24.017,-2.319,-11.922,-5.381,1.719,1.007,1.78,-0.488,2.391,-2.207,-1.475,-0.997,1.007,-2.574,-2.716,-2.441,-0.682,6.46,-8.453,-3.042,2.848,-1.139,-3.937,-2.096,-5.493,-0.224,-0.793,-0.254,-5.809,1.76,-1.862,-4.71,1.343,0.6,0.387,-0.783,7.762,-0.773,-6.337,-7.09,-3.011,-0.6,-2.625,0.824,2.604,1.79,-3.56,-5.341,a
-5.015,-3.499,-3.947,5.198,-4.618,-9.593,-2.848,1.241,-5.066,-0.366,-4.822,-0.183,-3.916,-7.456,-6.276,-4.588,-21.881,0.61,-16.805,4.873,0.743,1.495,1.292,1.465,1.414,-0.743,1.455,0.468,1.495,-2.085,-3.204,-4.395,0.295,2.065,-6.012,-4.018,-4.964,0.814,-4.913,-0.631,-3.052,1.241,-0.305,1.699,-4.344,1.272,-3.326,-3.733,-0.122,2.065,-0.102,0.682,-7.375,-0.285,-3.408,1.211,-2.523,-0.112,-2.625,1.312,2.116,1.302,-4.537,-5.341,a
-5.503,-1.058,-5.9,10.569,-2.177,-7.151,-0.407,2.706,-0.671,1.587,-0.916,0.793,-1.475,-4.527,-2.37,-6.053,-3.815,2.075,-10.457,10.244,-0.722,1.984,-0.661,2.441,-0.051,1.211,0.966,0.468,0.519,-1.597,-3.693,-4.883,-1.17,-5.259,-1.129,-3.042,-6.917,0.326,-2.96,2.299,-0.61,1.729,-3.235,2.675,-1.414,-0.682,-2.838,-1.292,-2.563,2.065,-2.055,1.658,-2.981,1.18,-18.056,4.14,-1.058,-0.6,-2.625,0.824,0.651,0.326,-5.025,-4.364,a
-3.55,1.383,-4.924,13.987,1.241,0.173,1.058,3.682,1.77,3.052,0.061,1.77,-0.01,-2.574,1.048,-7.517,-5.28,-1.343,11.515,0.478,-2.187,1.495,-3.591,2.93,-1.027,3.164,-3.428,-0.02,-1.434,-1.597,-4.669,-2.441,-3.611,-8.189,3.754,-0.6,-5.452,-1.628,1.923,4.252,-0.122,1.729,-9.094,2.187,0.539,-2.635,-1.862,1.638,-4.517,2.553,-4.985,2.635,2.391,1.668,6.846,12.441,0.407,-1.577,-3.113,0.336,-2.279,-0.651,-3.56,-3.876,a
-0.621,3.337,-2.97,13.499,2.706,8.962,1.546,3.682,1.282,3.54,-2.869,1.282,-0.01,-3.062,0.071,-8.982,0.58,-1.343,3.215,0.478,-2.187,0.519,-5.544,2.93,-1.516,5.117,-9.776,-0.997,-3.387,-1.597,-5.646,0.488,-5.564,-4.283,5.219,3.306,-6.917,-2.116,5.829,3.764,-2.075,2.706,-14.954,1.211,1.516,-3.611,-0.885,4.079,-4.028,2.553,-7.426,3.611,2.391,1.18,4.893,-1.231,0.407,-2.553,-3.113,-0.153,-3.743,-1.139,-0.631,-3.876,a
1.821,2.848,-1.994,9.593,2.706,14.333,0.57,3.194,-2.136,4.517,-7.751,1.282,-0.987,-4.527,-4.812,-9.959,1.068,-1.343,0.773,-2.452,-1.211,0.519,-6.032,2.441,-1.516,6.093,-12.705,-1.485,-4.364,-1.597,-6.622,2.93,-6.541,3.53,2.289,5.747,-11.8,-0.163,5.341,1.811,-4.517,3.682,-16.418,0.234,0.051,-2.146,-2.35,5.056,-1.587,3.53,-8.891,4.1,-0.539,-2.726,-0.966,3.164,-0.081,-3.042,-3.601,-0.641,-3.743,-1.139,1.811,-4.364,a
2.309,2.36,-1.994,4.222,1.729,13.357,0.081,2.218,-4.578,5.005,-11.658,0.305,-2.94,-3.062,-10.671,-10.447,5.463,-0.854,5.656,-0.498,0.254,0.519,-4.079,2.441,-1.027,6.582,-10.264,-0.997,-3.876,-1.109,-6.134,1.953,-5.076,9.389,-2.594,5.259,-10.824,3.255,1.923,-0.631,-5.493,4.171,-10.559,0.234,-1.414,1.272,-4.303,4.567,0.366,4.018,-7.914,4.588,2.879,-0.773,-3.408,-0.254,-1.058,-2.553,-3.113,-0.153,-2.279,-0.651,2.299,-5.829,a
0.844,2.848,-2.97,1.292,1.241,7.009,0.57,1.241,-3.601,4.517,-10.681,0.305,-2.452,3.286,-12.136,-9.471,6.439,-2.808,10.05,-0.987,0.743,0.519,-2.126,2.441,-0.539,7.07,-3.916,0.468,-2.411,-0.621,-4.669,-0.488,-0.682,10.854,-5.524,2.818,1.383,6.185,-1.495,-0.631,-3.54,3.682,0.183,1.211,-0.926,5.178,-4.791,4.079,0.854,3.53,-4.496,5.076,3.855,-0.773,-27.822,-11.485,-0.57,-1.577,-2.136,-0.153,-0.326,-0.163,1.322,-5.829,a
0.844,4.801,-1.017,1.78,2.218,0.173,1.546,0.753,0.793,4.028,-4.822,0.305,-0.01,12.075,-6.765,-5.564,-6.256,3.052,-4.11,2.92,0.743,0.519,-0.173,2.441,-0.539,6.093,2.431,0.956,-0.946,-0.132,-2.228,-1.953,6.154,9.878,-4.059,-0.112,17.008,7.161,-1.007,0.346,0.854,2.218,10.437,2.187,1.027,8.108,-3.326,3.103,-0.61,2.065,-1.078,4.1,-2.492,1.668,-29.287,-8.067,-0.081,-1.088,-1.16,0.336,0.651,0.326,0.834,-2.899,a
3.286,7.731,4.354,5.198,4.659,-1.78,2.523,0.264,6.165,2.563,3.967,-0.183,2.92,18.422,1.536,0.295,-0.397,2.075,-8.016,-2.452,0.254,-0.458,0.804,1.465,-0.539,4.14,5.361,-0.02,-0.946,-0.132,-0.763,0.977,12.99,10.366,2.289,-1.088,23.356,5.208,3.387,0.834,5.249,1.241,15.32,2.187,3.957,8.108,0.092,3.591,-2.075,0.6,1.851,2.146,0.437,0.692,-13.173,-13.926,0.895,-0.6,-0.671,-0.153,0.163,-0.163,3.276,3.448,a
7.68,8.708,9.725,7.64,6.612,0.661,3.011,0.264,8.606,1.587,9.827,-0.183,3.896,16.469,7.395,7.619,0.092,-2.808,-22.176,-9.288,0.254,-0.946,0.315,0,-1.027,-0.254,4.873,-1.485,-1.923,-1.597,-0.763,6.836,16.408,12.319,9.125,-0.112,14.567,1.79,7.294,-0.142,7.202,0.264,12.39,1.699,5.422,5.178,2.045,4.079,-1.099,-1.353,3.316,-1.272,2.391,-0.773,-9.755,-10.997,0.895,-1.577,-2.136,-1.129,-0.814,-0.163,6.694,10.284,a
10.122,7.731,13.631,7.151,7.1,4.567,2.523,0.753,7.141,1.099,11.78,-0.183,3.408,6.704,7.395,11.525,-1.373,-0.854,-4.598,-3.916,0.743,-1.434,-0.173,-1.465,-1.027,-5.137,2.431,-3.927,-2.899,-4.527,-4.181,11.719,13.479,12.319,12.054,2.818,-1.058,-0.163,7.294,-0.142,5.737,0.264,5.066,0.722,4.934,0.783,2.533,4.567,1.343,-1.353,3.805,-3.713,1.414,0.203,-10.732,-8.067,0.407,-3.042,-4.578,-2.106,-1.302,-0.163,9.623,14.679,a
9.145,3.825,12.655,4.222,5.636,6.032,1.546,1.729,4.211,1.587,8.362,-0.183,1.943,-4.038,1.536,10.061,0.58,0.122,0.285,-7.334,1.719,-1.434,0.315,-2.93,-1.027,-8.067,-0.498,-4.903,-4.364,-7.456,-7.599,12.207,6.643,6.46,11.078,5.259,-7.406,1.302,4.364,0.346,2.808,0.264,-2.258,0.722,3.469,-3.123,0.092,4.079,4.761,-1.353,2.828,-5.178,1.414,-0.773,-4.873,-6.114,-0.57,-4.506,-7.019,-2.594,-1.302,-0.163,9.135,13.702,a
